  0%|          | 0/1688 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-11-23 13:13:09,785 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                   
{'loss': 2.8551, 'learning_rate': 3.921568627450981e-07, 'epoch': 0.0}
{'loss': 3.0171, 'learning_rate': 7.843137254901962e-07, 'epoch': 0.0}
{'loss': 4.0689, 'learning_rate': 1.1764705882352942e-06, 'epoch': 0.01}
{'loss': 3.3223, 'learning_rate': 1.5686274509803923e-06, 'epoch': 0.01}
{'loss': 3.9915, 'learning_rate': 1.96078431372549e-06, 'epoch': 0.01}
{'loss': 9.4122, 'learning_rate': 2.3529411764705885e-06, 'epoch': 0.01}
{'loss': 3.5025, 'learning_rate': 2.7450980392156867e-06, 'epoch': 0.02}
{'loss': 3.6514, 'learning_rate': 3.1372549019607846e-06, 'epoch': 0.02}
{'loss': 2.9511, 'learning_rate': 3.529411764705883e-06, 'epoch': 0.02}
{'loss': 3.2711, 'learning_rate': 3.92156862745098e-06, 'epoch': 0.02}
{'loss': 4.4339, 'learning_rate': 4.313725490196079e-06, 'epoch': 0.03}
{'loss': 3.2154, 'learning_rate': 4.705882352941177e-06, 'epoch': 0.03}
{'loss': 2.8615, 'learning_rate': 5.098039215686274e-06, 'epoch': 0.03}
{'loss': 2.923, 'learning_rate': 5.4901960784313735e-06, 'epoch': 0.03}
{'loss': 3.2271, 'learning_rate': 5.882352941176471e-06, 'epoch': 0.04}
{'loss': 3.3447, 'learning_rate': 6.274509803921569e-06, 'epoch': 0.04}
{'loss': 2.8289, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.04}
{'loss': 5.9759, 'learning_rate': 7.058823529411766e-06, 'epoch': 0.04}
{'loss': 2.7782, 'learning_rate': 7.450980392156863e-06, 'epoch': 0.04}
{'loss': 2.32, 'learning_rate': 7.84313725490196e-06, 'epoch': 0.05}
{'loss': 2.1848, 'learning_rate': 8.23529411764706e-06, 'epoch': 0.05}
{'loss': 1.7707, 'learning_rate': 8.627450980392157e-06, 'epoch': 0.05}
{'loss': 1.6848, 'learning_rate': 9.019607843137256e-06, 'epoch': 0.05}
{'loss': 1.7329, 'learning_rate': 9.411764705882354e-06, 'epoch': 0.06}
{'loss': 1.7705, 'learning_rate': 9.803921568627451e-06, 'epoch': 0.06}
{'loss': 1.4565, 'learning_rate': 1.0196078431372549e-05, 'epoch': 0.06}
{'loss': 3.8621, 'learning_rate': 1.0588235294117648e-05, 'epoch': 0.06}
{'loss': 1.5494, 'learning_rate': 1.0980392156862747e-05, 'epoch': 0.07}
{'loss': 1.4972, 'learning_rate': 1.1372549019607844e-05, 'epoch': 0.07}
{'loss': 1.3168, 'learning_rate': 1.1764705882352942e-05, 'epoch': 0.07}
{'loss': 1.1587, 'learning_rate': 1.215686274509804e-05, 'epoch': 0.07}
{'loss': 1.106, 'learning_rate': 1.2549019607843138e-05, 'epoch': 0.08}
{'loss': 1.2728, 'learning_rate': 1.2941176470588238e-05, 'epoch': 0.08}
{'loss': 1.775, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.08}
{'loss': 1.4065, 'learning_rate': 1.3725490196078432e-05, 'epoch': 0.08}
{'loss': 1.3056, 'learning_rate': 1.4117647058823532e-05, 'epoch': 0.09}
{'loss': 1.1683, 'learning_rate': 1.4509803921568629e-05, 'epoch': 0.09}
{'loss': 1.0759, 'learning_rate': 1.4901960784313726e-05, 'epoch': 0.09}
{'loss': 1.0589, 'learning_rate': 1.5294117647058822e-05, 'epoch': 0.09}
{'loss': 1.318, 'learning_rate': 1.568627450980392e-05, 'epoch': 0.09}
{'loss': 1.4963, 'learning_rate': 1.607843137254902e-05, 'epoch': 0.1}
{'loss': 0.9601, 'learning_rate': 1.647058823529412e-05, 'epoch': 0.1}
{'loss': 1.1501, 'learning_rate': 1.686274509803922e-05, 'epoch': 0.1}
{'loss': 0.9404, 'learning_rate': 1.7254901960784314e-05, 'epoch': 0.1}
{'loss': 1.1609, 'learning_rate': 1.7647058823529414e-05, 'epoch': 0.11}
{'loss': 0.9899, 'learning_rate': 1.8039215686274513e-05, 'epoch': 0.11}
{'loss': 1.0878, 'learning_rate': 1.843137254901961e-05, 'epoch': 0.11}
{'loss': 1.0926, 'learning_rate': 1.8823529411764708e-05, 'epoch': 0.11}
{'loss': 1.2718, 'learning_rate': 1.9215686274509807e-05, 'epoch': 0.12}
{'loss': 1.0828, 'learning_rate': 1.9607843137254903e-05, 'epoch': 0.12}
{'loss': 1.0409, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 1.2755, 'learning_rate': 1.9987782529016497e-05, 'epoch': 0.12}
{'loss': 1.1297, 'learning_rate': 1.997556505803299e-05, 'epoch': 0.13}
{'loss': 1.0855, 'learning_rate': 1.9963347587049484e-05, 'epoch': 0.13}
{'loss': 1.0819, 'learning_rate': 1.9951130116065975e-05, 'epoch': 0.13}
{'loss': 0.9798, 'learning_rate': 1.993891264508247e-05, 'epoch': 0.13}
{'loss': 0.9754, 'learning_rate': 1.9926695174098962e-05, 'epoch': 0.13}
{'loss': 1.0985, 'learning_rate': 1.9914477703115457e-05, 'epoch': 0.14}
{'loss': 1.2246, 'learning_rate': 1.9902260232131952e-05, 'epoch': 0.14}
{'loss': 1.243, 'learning_rate': 1.9890042761148444e-05, 'epoch': 0.14}
{'loss': 1.0923, 'learning_rate': 1.987782529016494e-05, 'epoch': 0.14}
{'loss': 1.2262, 'learning_rate': 1.986560781918143e-05, 'epoch': 0.15}
{'loss': 1.0914, 'learning_rate': 1.9853390348197926e-05, 'epoch': 0.15}
{'loss': 1.3138, 'learning_rate': 1.9841172877214418e-05, 'epoch': 0.15}
{'loss': 1.3893, 'learning_rate': 1.9828955406230913e-05, 'epoch': 0.15}
{'loss': 1.1295, 'learning_rate': 1.9816737935247404e-05, 'epoch': 0.16}
{'loss': 1.0497, 'learning_rate': 1.98045204642639e-05, 'epoch': 0.16}
{'loss': 1.0643, 'learning_rate': 1.979230299328039e-05, 'epoch': 0.16}
{'loss': 1.3396, 'learning_rate': 1.9780085522296886e-05, 'epoch': 0.16}
{'loss': 1.9018, 'learning_rate': 1.9767868051313378e-05, 'epoch': 0.17}
{'loss': 1.0205, 'learning_rate': 1.9755650580329873e-05, 'epoch': 0.17}
{'loss': 1.1797, 'learning_rate': 1.9743433109346365e-05, 'epoch': 0.17}
{'loss': 1.0352, 'learning_rate': 1.973121563836286e-05, 'epoch': 0.17}
{'loss': 1.2691, 'learning_rate': 1.9718998167379355e-05, 'epoch': 0.17}
{'loss': 0.9859, 'learning_rate': 1.970678069639585e-05, 'epoch': 0.18}
{'loss': 1.2399, 'learning_rate': 1.9694563225412342e-05, 'epoch': 0.18}
{'loss': 1.25, 'learning_rate': 1.9682345754428837e-05, 'epoch': 0.18}
{'loss': 0.9323, 'learning_rate': 1.967012828344533e-05, 'epoch': 0.18}
{'loss': 1.1714, 'learning_rate': 1.9657910812461824e-05, 'epoch': 0.19}
{'loss': 1.0413, 'learning_rate': 1.9645693341478315e-05, 'epoch': 0.19}
{'loss': 0.9791, 'learning_rate': 1.963347587049481e-05, 'epoch': 0.19}
{'loss': 1.0313, 'learning_rate': 1.9621258399511302e-05, 'epoch': 0.19}
{'loss': 0.8479, 'learning_rate': 1.9609040928527797e-05, 'epoch': 0.2}
{'loss': 1.1499, 'learning_rate': 1.959682345754429e-05, 'epoch': 0.2}
{'loss': 1.0735, 'learning_rate': 1.9584605986560784e-05, 'epoch': 0.2}
{'loss': 1.0461, 'learning_rate': 1.9572388515577276e-05, 'epoch': 0.2}
{'loss': 0.9242, 'learning_rate': 1.956017104459377e-05, 'epoch': 0.21}
{'loss': 1.7511, 'learning_rate': 1.9547953573610263e-05, 'epoch': 0.21}
{'loss': 1.3094, 'learning_rate': 1.9535736102626758e-05, 'epoch': 0.21}
{'loss': 0.8665, 'learning_rate': 1.9523518631643253e-05, 'epoch': 0.21}
{'loss': 1.1564, 'learning_rate': 1.9511301160659744e-05, 'epoch': 0.22}
{'loss': 1.1536, 'learning_rate': 1.949908368967624e-05, 'epoch': 0.22}
{'loss': 1.0277, 'learning_rate': 1.948686621869273e-05, 'epoch': 0.22}
{'loss': 1.0617, 'learning_rate': 1.9474648747709226e-05, 'epoch': 0.22}
{'loss': 1.0164, 'learning_rate': 1.9462431276725718e-05, 'epoch': 0.22}
{'loss': 1.3551, 'learning_rate': 1.9450213805742213e-05, 'epoch': 0.23}
{'loss': 1.128, 'learning_rate': 1.9437996334758705e-05, 'epoch': 0.23}
{'loss': 1.1923, 'learning_rate': 1.94257788637752e-05, 'epoch': 0.23}
{'loss': 0.8651, 'learning_rate': 1.941356139279169e-05, 'epoch': 0.23}
{'loss': 1.1869, 'learning_rate': 1.9401343921808187e-05, 'epoch': 0.24}
{'loss': 0.9022, 'learning_rate': 1.938912645082468e-05, 'epoch': 0.24}
{'loss': 1.2372, 'learning_rate': 1.9376908979841174e-05, 'epoch': 0.24}
{'loss': 0.9135, 'learning_rate': 1.936469150885767e-05, 'epoch': 0.24}
