  0%|          | 0/1688 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-11-25 13:14:22,568 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                   
{'loss': 2.8503, 'learning_rate': 3.921568627450981e-07, 'epoch': 0.0}
{'loss': 3.0197, 'learning_rate': 7.843137254901962e-07, 'epoch': 0.0}
{'loss': 4.0615, 'learning_rate': 1.1764705882352942e-06, 'epoch': 0.01}
{'loss': 3.3218, 'learning_rate': 1.5686274509803923e-06, 'epoch': 0.01}
{'loss': 3.9881, 'learning_rate': 1.96078431372549e-06, 'epoch': 0.01}
{'loss': 9.4159, 'learning_rate': 2.3529411764705885e-06, 'epoch': 0.01}
{'loss': 3.4974, 'learning_rate': 2.7450980392156867e-06, 'epoch': 0.02}
{'loss': 3.6476, 'learning_rate': 3.1372549019607846e-06, 'epoch': 0.02}
{'loss': 2.9514, 'learning_rate': 3.529411764705883e-06, 'epoch': 0.02}
{'loss': 3.2734, 'learning_rate': 3.92156862745098e-06, 'epoch': 0.02}
{'loss': 4.4287, 'learning_rate': 4.313725490196079e-06, 'epoch': 0.03}
{'loss': 3.212, 'learning_rate': 4.705882352941177e-06, 'epoch': 0.03}
{'loss': 2.8593, 'learning_rate': 5.098039215686274e-06, 'epoch': 0.03}
{'loss': 2.9261, 'learning_rate': 5.4901960784313735e-06, 'epoch': 0.03}
{'loss': 3.2496, 'learning_rate': 5.882352941176471e-06, 'epoch': 0.04}
{'loss': 3.3675, 'learning_rate': 6.274509803921569e-06, 'epoch': 0.04}
{'loss': 2.8622, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.04}
{'loss': 6.0551, 'learning_rate': 7.058823529411766e-06, 'epoch': 0.04}
{'loss': 2.8425, 'learning_rate': 7.450980392156863e-06, 'epoch': 0.04}
{'loss': 2.3794, 'learning_rate': 7.84313725490196e-06, 'epoch': 0.05}
{'loss': 2.2302, 'learning_rate': 8.23529411764706e-06, 'epoch': 0.05}
{'loss': 1.8112, 'learning_rate': 8.627450980392157e-06, 'epoch': 0.05}
{'loss': 1.7145, 'learning_rate': 9.019607843137256e-06, 'epoch': 0.05}
{'loss': 1.7306, 'learning_rate': 9.411764705882354e-06, 'epoch': 0.06}
{'loss': 1.7675, 'learning_rate': 9.803921568627451e-06, 'epoch': 0.06}
{'loss': 1.4499, 'learning_rate': 1.0196078431372549e-05, 'epoch': 0.06}
{'loss': 3.8432, 'learning_rate': 1.0588235294117648e-05, 'epoch': 0.06}
{'loss': 1.5311, 'learning_rate': 1.0980392156862747e-05, 'epoch': 0.07}
{'loss': 1.4829, 'learning_rate': 1.1372549019607844e-05, 'epoch': 0.07}
{'loss': 1.3027, 'learning_rate': 1.1764705882352942e-05, 'epoch': 0.07}
{'loss': 1.1486, 'learning_rate': 1.215686274509804e-05, 'epoch': 0.07}
{'loss': 1.1022, 'learning_rate': 1.2549019607843138e-05, 'epoch': 0.08}
{'loss': 1.271, 'learning_rate': 1.2941176470588238e-05, 'epoch': 0.08}
{'loss': 1.7735, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.08}
{'loss': 1.4042, 'learning_rate': 1.3725490196078432e-05, 'epoch': 0.08}
{'loss': 1.3075, 'learning_rate': 1.4117647058823532e-05, 'epoch': 0.09}
{'loss': 1.1643, 'learning_rate': 1.4509803921568629e-05, 'epoch': 0.09}
{'loss': 1.0741, 'learning_rate': 1.4901960784313726e-05, 'epoch': 0.09}
{'loss': 1.0629, 'learning_rate': 1.5294117647058822e-05, 'epoch': 0.09}
{'loss': 1.3162, 'learning_rate': 1.568627450980392e-05, 'epoch': 0.09}
{'loss': 1.4936, 'learning_rate': 1.607843137254902e-05, 'epoch': 0.1}
{'loss': 0.9591, 'learning_rate': 1.647058823529412e-05, 'epoch': 0.1}
{'loss': 1.15, 'learning_rate': 1.686274509803922e-05, 'epoch': 0.1}
{'loss': 0.9398, 'learning_rate': 1.7254901960784314e-05, 'epoch': 0.1}
{'loss': 1.1623, 'learning_rate': 1.7647058823529414e-05, 'epoch': 0.11}
{'loss': 0.9901, 'learning_rate': 1.8039215686274513e-05, 'epoch': 0.11}
{'loss': 1.0867, 'learning_rate': 1.843137254901961e-05, 'epoch': 0.11}
{'loss': 1.0942, 'learning_rate': 1.8823529411764708e-05, 'epoch': 0.11}
{'loss': 1.2756, 'learning_rate': 1.9215686274509807e-05, 'epoch': 0.12}
{'loss': 1.082, 'learning_rate': 1.9607843137254903e-05, 'epoch': 0.12}
{'loss': 1.0381, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 1.2782, 'learning_rate': 1.9987782529016497e-05, 'epoch': 0.12}
{'loss': 1.1286, 'learning_rate': 1.997556505803299e-05, 'epoch': 0.13}
{'loss': 1.0861, 'learning_rate': 1.9963347587049484e-05, 'epoch': 0.13}
{'loss': 1.0803, 'learning_rate': 1.9951130116065975e-05, 'epoch': 0.13}
{'loss': 0.9802, 'learning_rate': 1.993891264508247e-05, 'epoch': 0.13}
{'loss': 0.9744, 'learning_rate': 1.9926695174098962e-05, 'epoch': 0.13}
{'loss': 1.0959, 'learning_rate': 1.9914477703115457e-05, 'epoch': 0.14}
{'loss': 1.2252, 'learning_rate': 1.9902260232131952e-05, 'epoch': 0.14}
{'loss': 1.242, 'learning_rate': 1.9890042761148444e-05, 'epoch': 0.14}
{'loss': 1.0932, 'learning_rate': 1.987782529016494e-05, 'epoch': 0.14}
{'loss': 1.2242, 'learning_rate': 1.986560781918143e-05, 'epoch': 0.15}
{'loss': 1.0918, 'learning_rate': 1.9853390348197926e-05, 'epoch': 0.15}
{'loss': 1.3146, 'learning_rate': 1.9841172877214418e-05, 'epoch': 0.15}
{'loss': 1.3903, 'learning_rate': 1.9828955406230913e-05, 'epoch': 0.15}
{'loss': 1.1293, 'learning_rate': 1.9816737935247404e-05, 'epoch': 0.16}
{'loss': 1.0498, 'learning_rate': 1.98045204642639e-05, 'epoch': 0.16}
{'loss': 1.0643, 'learning_rate': 1.979230299328039e-05, 'epoch': 0.16}
{'loss': 1.3418, 'learning_rate': 1.9780085522296886e-05, 'epoch': 0.16}
{'loss': 1.9044, 'learning_rate': 1.9767868051313378e-05, 'epoch': 0.17}
{'loss': 1.0221, 'learning_rate': 1.9755650580329873e-05, 'epoch': 0.17}
{'loss': 1.1798, 'learning_rate': 1.9743433109346365e-05, 'epoch': 0.17}
{'loss': 1.0355, 'learning_rate': 1.973121563836286e-05, 'epoch': 0.17}
{'loss': 1.2706, 'learning_rate': 1.9718998167379355e-05, 'epoch': 0.17}
{'loss': 0.9851, 'learning_rate': 1.970678069639585e-05, 'epoch': 0.18}
{'loss': 1.2418, 'learning_rate': 1.9694563225412342e-05, 'epoch': 0.18}
{'loss': 1.2509, 'learning_rate': 1.9682345754428837e-05, 'epoch': 0.18}
{'loss': 0.9302, 'learning_rate': 1.967012828344533e-05, 'epoch': 0.18}
{'loss': 1.1724, 'learning_rate': 1.9657910812461824e-05, 'epoch': 0.19}
{'loss': 1.0372, 'learning_rate': 1.9645693341478315e-05, 'epoch': 0.19}
{'loss': 0.9767, 'learning_rate': 1.963347587049481e-05, 'epoch': 0.19}
{'loss': 1.0311, 'learning_rate': 1.9621258399511302e-05, 'epoch': 0.19}
{'loss': 0.8442, 'learning_rate': 1.9609040928527797e-05, 'epoch': 0.2}
{'loss': 1.1496, 'learning_rate': 1.959682345754429e-05, 'epoch': 0.2}
{'loss': 1.0747, 'learning_rate': 1.9584605986560784e-05, 'epoch': 0.2}
{'loss': 1.0441, 'learning_rate': 1.9572388515577276e-05, 'epoch': 0.2}
{'loss': 0.9228, 'learning_rate': 1.956017104459377e-05, 'epoch': 0.21}
{'loss': 1.7532, 'learning_rate': 1.9547953573610263e-05, 'epoch': 0.21}
{'loss': 1.3126, 'learning_rate': 1.9535736102626758e-05, 'epoch': 0.21}
{'loss': 0.8678, 'learning_rate': 1.9523518631643253e-05, 'epoch': 0.21}
{'loss': 1.1553, 'learning_rate': 1.9511301160659744e-05, 'epoch': 0.22}
{'loss': 1.1571, 'learning_rate': 1.949908368967624e-05, 'epoch': 0.22}
{'loss': 1.0266, 'learning_rate': 1.948686621869273e-05, 'epoch': 0.22}
{'loss': 1.0632, 'learning_rate': 1.9474648747709226e-05, 'epoch': 0.22}
{'loss': 1.0157, 'learning_rate': 1.9462431276725718e-05, 'epoch': 0.22}
{'loss': 1.3598, 'learning_rate': 1.9450213805742213e-05, 'epoch': 0.23}
{'loss': 1.1262, 'learning_rate': 1.9437996334758705e-05, 'epoch': 0.23}
{'loss': 1.192, 'learning_rate': 1.94257788637752e-05, 'epoch': 0.23}
{'loss': 0.8637, 'learning_rate': 1.941356139279169e-05, 'epoch': 0.23}
{'loss': 1.189, 'learning_rate': 1.9401343921808187e-05, 'epoch': 0.24}
{'loss': 0.9052, 'learning_rate': 1.938912645082468e-05, 'epoch': 0.24}
{'loss': 1.2378, 'learning_rate': 1.9376908979841174e-05, 'epoch': 0.24}
{'loss': 0.9097, 'learning_rate': 1.936469150885767e-05, 'epoch': 0.24}
{'loss': 0.9708, 'learning_rate': 1.9352474037874164e-05, 'epoch': 0.25}
{'loss': 1.0818, 'learning_rate': 1.9340256566890655e-05, 'epoch': 0.25}
{'loss': 1.1089, 'learning_rate': 1.932803909590715e-05, 'epoch': 0.25}
{'loss': 0.9404, 'learning_rate': 1.9315821624923642e-05, 'epoch': 0.25}
{'loss': 1.0622, 'learning_rate': 1.9303604153940137e-05, 'epoch': 0.26}
{'loss': 1.1029, 'learning_rate': 1.929138668295663e-05, 'epoch': 0.26}
{'loss': 1.0187, 'learning_rate': 1.9279169211973124e-05, 'epoch': 0.26}
{'loss': 1.0252, 'learning_rate': 1.9266951740989616e-05, 'epoch': 0.26}
{'loss': 0.9115, 'learning_rate': 1.925473427000611e-05, 'epoch': 0.26}
{'loss': 1.2173, 'learning_rate': 1.9242516799022603e-05, 'epoch': 0.27}
{'loss': 1.0651, 'learning_rate': 1.9230299328039098e-05, 'epoch': 0.27}
{'loss': 1.0026, 'learning_rate': 1.921808185705559e-05, 'epoch': 0.27}
{'loss': 1.0349, 'learning_rate': 1.9205864386072085e-05, 'epoch': 0.27}
{'loss': 1.4362, 'learning_rate': 1.9193646915088576e-05, 'epoch': 0.28}
{'loss': 1.1393, 'learning_rate': 1.918142944410507e-05, 'epoch': 0.28}
{'loss': 1.1755, 'learning_rate': 1.9169211973121567e-05, 'epoch': 0.28}
{'loss': 0.9589, 'learning_rate': 1.9156994502138058e-05, 'epoch': 0.28}
{'loss': 1.0184, 'learning_rate': 1.9144777031154553e-05, 'epoch': 0.29}
{'loss': 0.9386, 'learning_rate': 1.913255956017105e-05, 'epoch': 0.29}
{'loss': 1.107, 'learning_rate': 1.912034208918754e-05, 'epoch': 0.29}
{'loss': 1.2177, 'learning_rate': 1.9108124618204035e-05, 'epoch': 0.29}
{'loss': 0.9394, 'learning_rate': 1.9095907147220527e-05, 'epoch': 0.3}
{'loss': 1.0853, 'learning_rate': 1.9083689676237022e-05, 'epoch': 0.3}
{'loss': 1.2092, 'learning_rate': 1.9071472205253514e-05, 'epoch': 0.3}
{'loss': 1.0048, 'learning_rate': 1.905925473427001e-05, 'epoch': 0.3}
{'loss': 1.1174, 'learning_rate': 1.90470372632865e-05, 'epoch': 0.31}
{'loss': 1.0932, 'learning_rate': 1.9034819792302996e-05, 'epoch': 0.31}
{'loss': 0.9321, 'learning_rate': 1.9022602321319487e-05, 'epoch': 0.31}
{'loss': 0.7959, 'learning_rate': 1.9010384850335982e-05, 'epoch': 0.31}
{'loss': 0.875, 'learning_rate': 1.8998167379352474e-05, 'epoch': 0.31}
{'loss': 0.9078, 'learning_rate': 1.898594990836897e-05, 'epoch': 0.32}
{'loss': 0.7496, 'learning_rate': 1.8973732437385464e-05, 'epoch': 0.32}
{'loss': 1.2175, 'learning_rate': 1.8961514966401956e-05, 'epoch': 0.32}
{'loss': 0.9696, 'learning_rate': 1.894929749541845e-05, 'epoch': 0.32}
{'loss': 1.0214, 'learning_rate': 1.8937080024434943e-05, 'epoch': 0.33}
{'loss': 0.9599, 'learning_rate': 1.8924862553451438e-05, 'epoch': 0.33}
{'loss': 0.874, 'learning_rate': 1.891264508246793e-05, 'epoch': 0.33}
{'loss': 1.0654, 'learning_rate': 1.8900427611484425e-05, 'epoch': 0.33}
{'loss': 0.8102, 'learning_rate': 1.8888210140500916e-05, 'epoch': 0.34}
{'loss': 0.9771, 'learning_rate': 1.887599266951741e-05, 'epoch': 0.34}
{'loss': 1.8433, 'learning_rate': 1.8863775198533903e-05, 'epoch': 0.34}
{'loss': 0.9059, 'learning_rate': 1.88515577275504e-05, 'epoch': 0.34}
{'loss': 0.9846, 'learning_rate': 1.883934025656689e-05, 'epoch': 0.35}
{'loss': 0.7726, 'learning_rate': 1.8827122785583385e-05, 'epoch': 0.35}
{'loss': 1.0042, 'learning_rate': 1.8814905314599877e-05, 'epoch': 0.35}
{'loss': 0.9463, 'learning_rate': 1.8802687843616375e-05, 'epoch': 0.35}
{'loss': 0.9042, 'learning_rate': 1.8790470372632867e-05, 'epoch': 0.35}
{'loss': 0.8744, 'learning_rate': 1.8778252901649362e-05, 'epoch': 0.36}
{'loss': 1.1221, 'learning_rate': 1.8766035430665854e-05, 'epoch': 0.36}
{'loss': 0.7877, 'learning_rate': 1.875381795968235e-05, 'epoch': 0.36}
{'loss': 0.9619, 'learning_rate': 1.874160048869884e-05, 'epoch': 0.36}
{'loss': 1.0816, 'learning_rate': 1.8729383017715336e-05, 'epoch': 0.37}
{'loss': 1.2148, 'learning_rate': 1.8717165546731827e-05, 'epoch': 0.37}
{'loss': 1.4667, 'learning_rate': 1.8704948075748323e-05, 'epoch': 0.37}
{'loss': 1.2044, 'learning_rate': 1.8692730604764814e-05, 'epoch': 0.37}
{'loss': 0.9856, 'learning_rate': 1.868051313378131e-05, 'epoch': 0.38}
{'loss': 1.1554, 'learning_rate': 1.86682956627978e-05, 'epoch': 0.38}
{'loss': 1.1259, 'learning_rate': 1.8656078191814296e-05, 'epoch': 0.38}
{'loss': 1.0977, 'learning_rate': 1.8643860720830788e-05, 'epoch': 0.38}
{'loss': 1.0299, 'learning_rate': 1.8631643249847283e-05, 'epoch': 0.39}
{'loss': 1.0008, 'learning_rate': 1.8619425778863778e-05, 'epoch': 0.39}
{'loss': 1.0287, 'learning_rate': 1.860720830788027e-05, 'epoch': 0.39}
{'loss': 1.0228, 'learning_rate': 1.8594990836896765e-05, 'epoch': 0.39}
{'loss': 1.0703, 'learning_rate': 1.8582773365913257e-05, 'epoch': 0.39}
{'loss': 0.9745, 'learning_rate': 1.857055589492975e-05, 'epoch': 0.4}
{'loss': 1.0272, 'learning_rate': 1.8558338423946243e-05, 'epoch': 0.4}
{'loss': 1.1493, 'learning_rate': 1.854612095296274e-05, 'epoch': 0.4}
{'loss': 0.9851, 'learning_rate': 1.853390348197923e-05, 'epoch': 0.4}
{'loss': 1.1153, 'learning_rate': 1.8521686010995725e-05, 'epoch': 0.41}
{'loss': 1.0728, 'learning_rate': 1.850946854001222e-05, 'epoch': 0.41}
{'loss': 1.1091, 'learning_rate': 1.8497251069028712e-05, 'epoch': 0.41}
{'loss': 1.0075, 'learning_rate': 1.8485033598045207e-05, 'epoch': 0.41}
{'loss': 1.0422, 'learning_rate': 1.84728161270617e-05, 'epoch': 0.42}
{'loss': 0.8794, 'learning_rate': 1.8460598656078194e-05, 'epoch': 0.42}
{'loss': 1.0175, 'learning_rate': 1.8448381185094686e-05, 'epoch': 0.42}
{'loss': 1.0704, 'learning_rate': 1.843616371411118e-05, 'epoch': 0.42}
{'loss': 0.9184, 'learning_rate': 1.8423946243127676e-05, 'epoch': 0.43}
{'loss': 0.8579, 'learning_rate': 1.8411728772144168e-05, 'epoch': 0.43}
{'loss': 1.0331, 'learning_rate': 1.8399511301160663e-05, 'epoch': 0.43}
{'loss': 0.9844, 'learning_rate': 1.8387293830177154e-05, 'epoch': 0.43}
{'loss': 0.8008, 'learning_rate': 1.837507635919365e-05, 'epoch': 0.44}
{'loss': 1.2779, 'learning_rate': 1.836285888821014e-05, 'epoch': 0.44}
{'loss': 1.0095, 'learning_rate': 1.8350641417226636e-05, 'epoch': 0.44}
{'loss': 0.8547, 'learning_rate': 1.8338423946243128e-05, 'epoch': 0.44}
{'loss': 0.9712, 'learning_rate': 1.8326206475259623e-05, 'epoch': 0.44}
{'loss': 0.7778, 'learning_rate': 1.8313989004276115e-05, 'epoch': 0.45}
{'loss': 2.1619, 'learning_rate': 1.830177153329261e-05, 'epoch': 0.45}
{'loss': 0.7809, 'learning_rate': 1.82895540623091e-05, 'epoch': 0.45}
{'loss': 1.1392, 'learning_rate': 1.8277336591325597e-05, 'epoch': 0.45}
{'loss': 1.093, 'learning_rate': 1.826511912034209e-05, 'epoch': 0.46}
{'loss': 0.8826, 'learning_rate': 1.8252901649358587e-05, 'epoch': 0.46}
{'loss': 0.9245, 'learning_rate': 1.824068417837508e-05, 'epoch': 0.46}
{'loss': 0.7968, 'learning_rate': 1.8228466707391574e-05, 'epoch': 0.46}
{'loss': 0.7318, 'learning_rate': 1.8216249236408065e-05, 'epoch': 0.47}
{'loss': 1.1254, 'learning_rate': 1.820403176542456e-05, 'epoch': 0.47}
{'loss': 1.5729, 'learning_rate': 1.8191814294441052e-05, 'epoch': 0.47}
{'loss': 1.2614, 'learning_rate': 1.8179596823457547e-05, 'epoch': 0.47}
{'loss': 1.1172, 'learning_rate': 1.816737935247404e-05, 'epoch': 0.48}
{'loss': 0.8374, 'learning_rate': 1.8155161881490534e-05, 'epoch': 0.48}
{'loss': 1.1358, 'learning_rate': 1.8142944410507026e-05, 'epoch': 0.48}
{'loss': 0.7969, 'learning_rate': 1.813072693952352e-05, 'epoch': 0.48}
{'loss': 0.932, 'learning_rate': 1.8118509468540013e-05, 'epoch': 0.48}
{'loss': 0.848, 'learning_rate': 1.8106291997556508e-05, 'epoch': 0.49}
{'loss': 1.0441, 'learning_rate': 1.8094074526573e-05, 'epoch': 0.49}
{'loss': 1.085, 'learning_rate': 1.8081857055589494e-05, 'epoch': 0.49}
{'loss': 0.9089, 'learning_rate': 1.806963958460599e-05, 'epoch': 0.49}
{'loss': 0.91, 'learning_rate': 1.805742211362248e-05, 'epoch': 0.5}
{'loss': 1.0974, 'learning_rate': 1.8045204642638976e-05, 'epoch': 0.5}
{'loss': 0.9837, 'learning_rate': 1.8032987171655468e-05, 'epoch': 0.5}
{'loss': 1.017, 'learning_rate': 1.8020769700671963e-05, 'epoch': 0.5}
{'loss': 1.2047, 'learning_rate': 1.8008552229688455e-05, 'epoch': 0.51}
{'loss': 0.9061, 'learning_rate': 1.799633475870495e-05, 'epoch': 0.51}
{'loss': 0.8986, 'learning_rate': 1.7984117287721442e-05, 'epoch': 0.51}
{'loss': 1.1417, 'learning_rate': 1.7971899816737937e-05, 'epoch': 0.51}
{'loss': 1.0784, 'learning_rate': 1.795968234575443e-05, 'epoch': 0.52}
{'loss': 1.0545, 'learning_rate': 1.7947464874770924e-05, 'epoch': 0.52}
{'loss': 1.0903, 'learning_rate': 1.7935247403787415e-05, 'epoch': 0.52}
{'loss': 1.091, 'learning_rate': 1.792302993280391e-05, 'epoch': 0.52}
{'loss': 1.1526, 'learning_rate': 1.7910812461820402e-05, 'epoch': 0.52}
{'loss': 1.0398, 'learning_rate': 1.7898594990836897e-05, 'epoch': 0.53}
{'loss': 1.0141, 'learning_rate': 1.7886377519853392e-05, 'epoch': 0.53}
{'loss': 0.8375, 'learning_rate': 1.7874160048869887e-05, 'epoch': 0.53}
{'loss': 0.8936, 'learning_rate': 1.786194257788638e-05, 'epoch': 0.53}
{'loss': 0.881, 'learning_rate': 1.7849725106902874e-05, 'epoch': 0.54}
{'loss': 1.0441, 'learning_rate': 1.7837507635919366e-05, 'epoch': 0.54}
{'loss': 1.0098, 'learning_rate': 1.782529016493586e-05, 'epoch': 0.54}
{'loss': 1.1663, 'learning_rate': 1.7813072693952353e-05, 'epoch': 0.54}
{'loss': 1.1474, 'learning_rate': 1.7800855222968848e-05, 'epoch': 0.55}
{'loss': 1.2082, 'learning_rate': 1.778863775198534e-05, 'epoch': 0.55}
{'loss': 1.1125, 'learning_rate': 1.7776420281001835e-05, 'epoch': 0.55}
{'loss': 0.9768, 'learning_rate': 1.7764202810018326e-05, 'epoch': 0.55}
{'loss': 0.8827, 'learning_rate': 1.775198533903482e-05, 'epoch': 0.56}
{'loss': 1.0139, 'learning_rate': 1.7739767868051313e-05, 'epoch': 0.56}
{'loss': 0.9289, 'learning_rate': 1.7727550397067808e-05, 'epoch': 0.56}
{'loss': 0.9709, 'learning_rate': 1.77153329260843e-05, 'epoch': 0.56}
{'loss': 1.2025, 'learning_rate': 1.7703115455100795e-05, 'epoch': 0.57}
{'loss': 1.039, 'learning_rate': 1.769089798411729e-05, 'epoch': 0.57}
{'loss': 0.9793, 'learning_rate': 1.7678680513133785e-05, 'epoch': 0.57}
{'loss': 1.0228, 'learning_rate': 1.7666463042150277e-05, 'epoch': 0.57}
{'loss': 1.0259, 'learning_rate': 1.7654245571166772e-05, 'epoch': 0.57}
{'loss': 0.8528, 'learning_rate': 1.7642028100183264e-05, 'epoch': 0.58}
{'loss': 0.9131, 'learning_rate': 1.762981062919976e-05, 'epoch': 0.58}
{'loss': 0.9415, 'learning_rate': 1.761759315821625e-05, 'epoch': 0.58}
{'loss': 1.1223, 'learning_rate': 1.7605375687232746e-05, 'epoch': 0.58}
{'loss': 1.4973, 'learning_rate': 1.7593158216249237e-05, 'epoch': 0.59}
{'loss': 1.0431, 'learning_rate': 1.7580940745265732e-05, 'epoch': 0.59}
{'loss': 0.9487, 'learning_rate': 1.7568723274282224e-05, 'epoch': 0.59}
{'loss': 1.1368, 'learning_rate': 1.755650580329872e-05, 'epoch': 0.59}
{'loss': 1.0116, 'learning_rate': 1.754428833231521e-05, 'epoch': 0.6}
{'loss': 1.1543, 'learning_rate': 1.7532070861331706e-05, 'epoch': 0.6}
{'loss': 1.0765, 'learning_rate': 1.75198533903482e-05, 'epoch': 0.6}
{'loss': 0.8074, 'learning_rate': 1.7507635919364693e-05, 'epoch': 0.6}
{'loss': 1.0444, 'learning_rate': 1.7495418448381188e-05, 'epoch': 0.61}
{'loss': 0.7618, 'learning_rate': 1.748320097739768e-05, 'epoch': 0.61}
{'loss': 0.8231, 'learning_rate': 1.7470983506414175e-05, 'epoch': 0.61}
{'loss': 1.7427, 'learning_rate': 1.7458766035430666e-05, 'epoch': 0.61}
{'loss': 0.9709, 'learning_rate': 1.744654856444716e-05, 'epoch': 0.61}
{'loss': 0.8909, 'learning_rate': 1.7434331093463653e-05, 'epoch': 0.62}
{'loss': 0.8872, 'learning_rate': 1.742211362248015e-05, 'epoch': 0.62}
{'loss': 1.0144, 'learning_rate': 1.740989615149664e-05, 'epoch': 0.62}
{'loss': 1.0603, 'learning_rate': 1.7397678680513135e-05, 'epoch': 0.62}
{'loss': 0.9537, 'learning_rate': 1.7385461209529627e-05, 'epoch': 0.63}
{'loss': 0.7972, 'learning_rate': 1.7373243738546122e-05, 'epoch': 0.63}
{'loss': 1.026, 'learning_rate': 1.7361026267562614e-05, 'epoch': 0.63}
{'loss': 0.8385, 'learning_rate': 1.734880879657911e-05, 'epoch': 0.63}
{'loss': 1.2341, 'learning_rate': 1.7336591325595604e-05, 'epoch': 0.64}
{'loss': 0.9759, 'learning_rate': 1.73243738546121e-05, 'epoch': 0.64}
{'loss': 1.1221, 'learning_rate': 1.731215638362859e-05, 'epoch': 0.64}
{'loss': 1.133, 'learning_rate': 1.7299938912645086e-05, 'epoch': 0.64}
{'loss': 0.8696, 'learning_rate': 1.7287721441661577e-05, 'epoch': 0.65}
{'loss': 0.9202, 'learning_rate': 1.7275503970678073e-05, 'epoch': 0.65}
{'loss': 1.0043, 'learning_rate': 1.7263286499694564e-05, 'epoch': 0.65}
{'loss': 1.0302, 'learning_rate': 1.725106902871106e-05, 'epoch': 0.65}
{'loss': 0.9432, 'learning_rate': 1.723885155772755e-05, 'epoch': 0.65}
{'loss': 0.8969, 'learning_rate': 1.7226634086744046e-05, 'epoch': 0.66}
