  0%|          | 0/1688 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-11-25 17:50:46,638 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                   
{'loss': 2.8551, 'learning_rate': 3.921568627450981e-07, 'epoch': 0.0}
{'loss': 3.0171, 'learning_rate': 7.843137254901962e-07, 'epoch': 0.0}
{'loss': 4.0683, 'learning_rate': 1.1764705882352942e-06, 'epoch': 0.01}
{'loss': 3.3191, 'learning_rate': 1.5686274509803923e-06, 'epoch': 0.01}
{'loss': 3.9951, 'learning_rate': 1.96078431372549e-06, 'epoch': 0.01}
{'loss': 9.4233, 'learning_rate': 2.3529411764705885e-06, 'epoch': 0.01}
{'loss': 3.4958, 'learning_rate': 2.7450980392156867e-06, 'epoch': 0.02}
{'loss': 3.6534, 'learning_rate': 3.1372549019607846e-06, 'epoch': 0.02}
{'loss': 2.9498, 'learning_rate': 3.529411764705883e-06, 'epoch': 0.02}
{'loss': 3.2765, 'learning_rate': 3.92156862745098e-06, 'epoch': 0.02}
{'loss': 4.4352, 'learning_rate': 4.313725490196079e-06, 'epoch': 0.03}
{'loss': 3.2131, 'learning_rate': 4.705882352941177e-06, 'epoch': 0.03}
{'loss': 2.8607, 'learning_rate': 5.098039215686274e-06, 'epoch': 0.03}
{'loss': 2.9204, 'learning_rate': 5.4901960784313735e-06, 'epoch': 0.03}
{'loss': 3.2265, 'learning_rate': 5.882352941176471e-06, 'epoch': 0.04}
{'loss': 3.3427, 'learning_rate': 6.274509803921569e-06, 'epoch': 0.04}
{'loss': 2.8317, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.04}
{'loss': 5.9901, 'learning_rate': 7.058823529411766e-06, 'epoch': 0.04}
{'loss': 2.7759, 'learning_rate': 7.450980392156863e-06, 'epoch': 0.04}
{'loss': 2.3231, 'learning_rate': 7.84313725490196e-06, 'epoch': 0.05}
{'loss': 2.187, 'learning_rate': 8.23529411764706e-06, 'epoch': 0.05}
{'loss': 1.7754, 'learning_rate': 8.627450980392157e-06, 'epoch': 0.05}
{'loss': 1.6836, 'learning_rate': 9.019607843137256e-06, 'epoch': 0.05}
{'loss': 1.7327, 'learning_rate': 9.411764705882354e-06, 'epoch': 0.06}
{'loss': 1.7748, 'learning_rate': 9.803921568627451e-06, 'epoch': 0.06}
{'loss': 1.4592, 'learning_rate': 1.0196078431372549e-05, 'epoch': 0.06}
{'loss': 3.8664, 'learning_rate': 1.0588235294117648e-05, 'epoch': 0.06}
{'loss': 1.5512, 'learning_rate': 1.0980392156862747e-05, 'epoch': 0.07}
{'loss': 1.498, 'learning_rate': 1.1372549019607844e-05, 'epoch': 0.07}
{'loss': 1.3195, 'learning_rate': 1.1764705882352942e-05, 'epoch': 0.07}
{'loss': 1.1601, 'learning_rate': 1.215686274509804e-05, 'epoch': 0.07}
{'loss': 1.1073, 'learning_rate': 1.2549019607843138e-05, 'epoch': 0.08}
{'loss': 1.2722, 'learning_rate': 1.2941176470588238e-05, 'epoch': 0.08}
{'loss': 1.777, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.08}
{'loss': 1.4066, 'learning_rate': 1.3725490196078432e-05, 'epoch': 0.08}
{'loss': 1.3059, 'learning_rate': 1.4117647058823532e-05, 'epoch': 0.09}
{'loss': 1.1656, 'learning_rate': 1.4509803921568629e-05, 'epoch': 0.09}
{'loss': 1.0756, 'learning_rate': 1.4901960784313726e-05, 'epoch': 0.09}
{'loss': 1.0586, 'learning_rate': 1.5294117647058822e-05, 'epoch': 0.09}
{'loss': 1.3202, 'learning_rate': 1.568627450980392e-05, 'epoch': 0.09}
{'loss': 1.4934, 'learning_rate': 1.607843137254902e-05, 'epoch': 0.1}
{'loss': 0.9614, 'learning_rate': 1.647058823529412e-05, 'epoch': 0.1}
{'loss': 1.1509, 'learning_rate': 1.686274509803922e-05, 'epoch': 0.1}
{'loss': 0.941, 'learning_rate': 1.7254901960784314e-05, 'epoch': 0.1}
{'loss': 1.1599, 'learning_rate': 1.7647058823529414e-05, 'epoch': 0.11}
{'loss': 0.9917, 'learning_rate': 1.8039215686274513e-05, 'epoch': 0.11}
{'loss': 1.0855, 'learning_rate': 1.843137254901961e-05, 'epoch': 0.11}
{'loss': 1.0933, 'learning_rate': 1.8823529411764708e-05, 'epoch': 0.11}
{'loss': 1.2736, 'learning_rate': 1.9215686274509807e-05, 'epoch': 0.12}
{'loss': 1.0843, 'learning_rate': 1.9607843137254903e-05, 'epoch': 0.12}
{'loss': 1.0398, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 1.2756, 'learning_rate': 1.9987782529016497e-05, 'epoch': 0.12}
{'loss': 1.13, 'learning_rate': 1.997556505803299e-05, 'epoch': 0.13}
{'loss': 1.0871, 'learning_rate': 1.9963347587049484e-05, 'epoch': 0.13}
{'loss': 1.0829, 'learning_rate': 1.9951130116065975e-05, 'epoch': 0.13}
{'loss': 0.9808, 'learning_rate': 1.993891264508247e-05, 'epoch': 0.13}
{'loss': 0.9759, 'learning_rate': 1.9926695174098962e-05, 'epoch': 0.13}
{'loss': 1.0983, 'learning_rate': 1.9914477703115457e-05, 'epoch': 0.14}
{'loss': 1.2244, 'learning_rate': 1.9902260232131952e-05, 'epoch': 0.14}
{'loss': 1.2416, 'learning_rate': 1.9890042761148444e-05, 'epoch': 0.14}
