  0%|          | 0/440 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-11-27 21:40:33,946 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                
{'loss': 3.0202, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.01}
{'loss': 3.0265, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.02}
{'loss': 3.2799, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.03}
{'loss': 2.3721, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.04}
{'loss': 2.2933, 'learning_rate': 7.1428571428571436e-06, 'epoch': 0.05}
{'loss': 3.0383, 'learning_rate': 8.571428571428571e-06, 'epoch': 0.05}
{'loss': 2.2609, 'learning_rate': 1e-05, 'epoch': 0.06}
{'loss': 2.5454, 'learning_rate': 1.1428571428571429e-05, 'epoch': 0.07}
{'loss': 2.1892, 'learning_rate': 1.2857142857142859e-05, 'epoch': 0.08}
{'loss': 1.8185, 'learning_rate': 1.4285714285714287e-05, 'epoch': 0.09}
{'loss': 2.2329, 'learning_rate': 1.5714285714285715e-05, 'epoch': 0.1}
{'loss': 1.8184, 'learning_rate': 1.7142857142857142e-05, 'epoch': 0.11}
{'loss': 1.8504, 'learning_rate': 1.8571428571428575e-05, 'epoch': 0.12}
{'loss': 1.4619, 'learning_rate': 2e-05, 'epoch': 0.13}
{'loss': 1.4293, 'learning_rate': 1.995305164319249e-05, 'epoch': 0.14}
{'loss': 1.5904, 'learning_rate': 1.9906103286384977e-05, 'epoch': 0.14}
{'loss': 1.5445, 'learning_rate': 1.9859154929577465e-05, 'epoch': 0.15}
{'loss': 1.516, 'learning_rate': 1.9812206572769953e-05, 'epoch': 0.16}
{'loss': 1.2356, 'learning_rate': 1.9765258215962445e-05, 'epoch': 0.17}
{'loss': 1.2704, 'learning_rate': 1.9718309859154933e-05, 'epoch': 0.18}
{'loss': 1.2112, 'learning_rate': 1.967136150234742e-05, 'epoch': 0.19}
{'loss': 1.1708, 'learning_rate': 1.962441314553991e-05, 'epoch': 0.2}
{'loss': 1.3176, 'learning_rate': 1.9577464788732396e-05, 'epoch': 0.21}
{'loss': 1.4682, 'learning_rate': 1.9530516431924884e-05, 'epoch': 0.22}
{'loss': 1.294, 'learning_rate': 1.9483568075117372e-05, 'epoch': 0.23}
{'loss': 1.2834, 'learning_rate': 1.943661971830986e-05, 'epoch': 0.24}
{'loss': 1.1331, 'learning_rate': 1.9389671361502348e-05, 'epoch': 0.24}
{'loss': 1.3298, 'learning_rate': 1.9342723004694836e-05, 'epoch': 0.25}
{'loss': 1.3409, 'learning_rate': 1.9295774647887327e-05, 'epoch': 0.26}
{'loss': 1.168, 'learning_rate': 1.9248826291079815e-05, 'epoch': 0.27}
{'loss': 1.2466, 'learning_rate': 1.9201877934272303e-05, 'epoch': 0.28}
{'loss': 1.304, 'learning_rate': 1.9154929577464788e-05, 'epoch': 0.29}
{'loss': 1.4456, 'learning_rate': 1.910798122065728e-05, 'epoch': 0.3}
{'loss': 1.0137, 'learning_rate': 1.9061032863849767e-05, 'epoch': 0.31}
{'loss': 1.2968, 'learning_rate': 1.9014084507042255e-05, 'epoch': 0.32}
{'loss': 1.3431, 'learning_rate': 1.8967136150234743e-05, 'epoch': 0.33}
{'loss': 1.2907, 'learning_rate': 1.892018779342723e-05, 'epoch': 0.34}
{'loss': 1.3966, 'learning_rate': 1.887323943661972e-05, 'epoch': 0.34}
{'loss': 1.2487, 'learning_rate': 1.882629107981221e-05, 'epoch': 0.35}
{'loss': 1.2145, 'learning_rate': 1.8779342723004698e-05, 'epoch': 0.36}
{'loss': 1.4922, 'learning_rate': 1.8732394366197186e-05, 'epoch': 0.37}
{'loss': 1.35, 'learning_rate': 1.8685446009389673e-05, 'epoch': 0.38}
{'loss': 1.0865, 'learning_rate': 1.863849765258216e-05, 'epoch': 0.39}
{'loss': 1.3859, 'learning_rate': 1.859154929577465e-05, 'epoch': 0.4}
{'loss': 1.4051, 'learning_rate': 1.8544600938967137e-05, 'epoch': 0.41}
{'loss': 1.192, 'learning_rate': 1.8497652582159625e-05, 'epoch': 0.42}
{'loss': 1.2144, 'learning_rate': 1.8450704225352113e-05, 'epoch': 0.43}
