  0%|          | 0/1688 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-11-28 10:01:31,470 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                   
{'loss': 6.2311, 'learning_rate': 3.921568627450981e-07, 'epoch': 0.0}
{'loss': 7.6574, 'learning_rate': 7.843137254901962e-07, 'epoch': 0.0}
{'loss': 6.7085, 'learning_rate': 1.1764705882352942e-06, 'epoch': 0.01}
{'loss': 4.6177, 'learning_rate': 1.5686274509803923e-06, 'epoch': 0.01}
{'loss': 6.4414, 'learning_rate': 1.96078431372549e-06, 'epoch': 0.01}
{'loss': 4.89, 'learning_rate': 2.3529411764705885e-06, 'epoch': 0.01}
{'loss': 5.1875, 'learning_rate': 2.7450980392156867e-06, 'epoch': 0.02}
{'loss': 5.7884, 'learning_rate': 3.1372549019607846e-06, 'epoch': 0.02}
{'loss': 6.6248, 'learning_rate': 3.529411764705883e-06, 'epoch': 0.02}
{'loss': 5.9597, 'learning_rate': 3.92156862745098e-06, 'epoch': 0.02}
{'loss': 4.8917, 'learning_rate': 4.313725490196079e-06, 'epoch': 0.03}
{'loss': 5.9122, 'learning_rate': 4.705882352941177e-06, 'epoch': 0.03}
{'loss': 6.4934, 'learning_rate': 5.098039215686274e-06, 'epoch': 0.03}
{'loss': 4.2304, 'learning_rate': 5.4901960784313735e-06, 'epoch': 0.03}
{'loss': 4.6624, 'learning_rate': 5.882352941176471e-06, 'epoch': 0.04}
{'loss': 4.3665, 'learning_rate': 6.274509803921569e-06, 'epoch': 0.04}
{'loss': 4.2007, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.04}
{'loss': 3.5245, 'learning_rate': 7.058823529411766e-06, 'epoch': 0.04}
{'loss': 3.7445, 'learning_rate': 7.450980392156863e-06, 'epoch': 0.04}
{'loss': 3.4552, 'learning_rate': 7.84313725490196e-06, 'epoch': 0.05}
{'loss': 3.084, 'learning_rate': 8.23529411764706e-06, 'epoch': 0.05}
