  0%|          | 0/1688 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-11-28 13:55:58,361 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                   
{'loss': 4.2876, 'learning_rate': 3.921568627450981e-07, 'epoch': 0.0}
{'loss': 3.9067, 'learning_rate': 7.843137254901962e-07, 'epoch': 0.0}
{'loss': 3.9793, 'learning_rate': 1.1764705882352942e-06, 'epoch': 0.01}
{'loss': 3.9576, 'learning_rate': 1.5686274509803923e-06, 'epoch': 0.01}
{'loss': 3.9678, 'learning_rate': 1.96078431372549e-06, 'epoch': 0.01}
{'loss': 3.851, 'learning_rate': 2.3529411764705885e-06, 'epoch': 0.01}
{'loss': 3.8476, 'learning_rate': 2.7450980392156867e-06, 'epoch': 0.02}
{'loss': 4.8123, 'learning_rate': 3.1372549019607846e-06, 'epoch': 0.02}
{'loss': 3.7515, 'learning_rate': 3.529411764705883e-06, 'epoch': 0.02}
{'loss': 4.6165, 'learning_rate': 3.92156862745098e-06, 'epoch': 0.02}
{'loss': 3.6961, 'learning_rate': 4.313725490196079e-06, 'epoch': 0.03}
{'loss': 3.6141, 'learning_rate': 4.705882352941177e-06, 'epoch': 0.03}
{'loss': 3.5145, 'learning_rate': 5.098039215686274e-06, 'epoch': 0.03}
{'loss': 2.8439, 'learning_rate': 5.4901960784313735e-06, 'epoch': 0.03}
{'loss': 3.0955, 'learning_rate': 5.882352941176471e-06, 'epoch': 0.04}
{'loss': 2.7928, 'learning_rate': 6.274509803921569e-06, 'epoch': 0.04}
{'loss': 2.5892, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.04}
{'loss': 2.6033, 'learning_rate': 7.058823529411766e-06, 'epoch': 0.04}
{'loss': 2.3381, 'learning_rate': 7.450980392156863e-06, 'epoch': 0.04}
{'loss': 2.556, 'learning_rate': 7.84313725490196e-06, 'epoch': 0.05}
{'loss': 1.8728, 'learning_rate': 8.23529411764706e-06, 'epoch': 0.05}
{'loss': 1.8527, 'learning_rate': 8.627450980392157e-06, 'epoch': 0.05}
{'loss': 1.4776, 'learning_rate': 9.019607843137256e-06, 'epoch': 0.05}
{'loss': 1.7139, 'learning_rate': 9.411764705882354e-06, 'epoch': 0.06}
{'loss': 1.4932, 'learning_rate': 9.803921568627451e-06, 'epoch': 0.06}
{'loss': 1.1818, 'learning_rate': 1.0196078431372549e-05, 'epoch': 0.06}
{'loss': 1.3053, 'learning_rate': 1.0588235294117648e-05, 'epoch': 0.06}
{'loss': 1.0928, 'learning_rate': 1.0980392156862747e-05, 'epoch': 0.07}
{'loss': 0.99, 'learning_rate': 1.1372549019607844e-05, 'epoch': 0.07}
{'loss': 1.0769, 'learning_rate': 1.1764705882352942e-05, 'epoch': 0.07}
{'loss': 1.0754, 'learning_rate': 1.215686274509804e-05, 'epoch': 0.07}
{'loss': 1.4119, 'learning_rate': 1.2549019607843138e-05, 'epoch': 0.08}
{'loss': 0.8964, 'learning_rate': 1.2941176470588238e-05, 'epoch': 0.08}
{'loss': 1.1733, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.08}
{'loss': 1.3278, 'learning_rate': 1.3725490196078432e-05, 'epoch': 0.08}
{'loss': 1.0346, 'learning_rate': 1.4117647058823532e-05, 'epoch': 0.09}
{'loss': 1.1808, 'learning_rate': 1.4509803921568629e-05, 'epoch': 0.09}
{'loss': 1.1536, 'learning_rate': 1.4901960784313726e-05, 'epoch': 0.09}
{'loss': 1.016, 'learning_rate': 1.5294117647058822e-05, 'epoch': 0.09}
{'loss': 1.0867, 'learning_rate': 1.568627450980392e-05, 'epoch': 0.09}
{'loss': 1.0014, 'learning_rate': 1.607843137254902e-05, 'epoch': 0.1}
{'loss': 0.9908, 'learning_rate': 1.647058823529412e-05, 'epoch': 0.1}
{'loss': 1.009, 'learning_rate': 1.686274509803922e-05, 'epoch': 0.1}
{'loss': 0.9614, 'learning_rate': 1.7254901960784314e-05, 'epoch': 0.1}
{'loss': 1.0076, 'learning_rate': 1.7647058823529414e-05, 'epoch': 0.11}
{'loss': 1.1301, 'learning_rate': 1.8039215686274513e-05, 'epoch': 0.11}
{'loss': 1.3515, 'learning_rate': 1.843137254901961e-05, 'epoch': 0.11}
{'loss': 1.0872, 'learning_rate': 1.8823529411764708e-05, 'epoch': 0.11}
{'loss': 1.1406, 'learning_rate': 1.9215686274509807e-05, 'epoch': 0.12}
{'loss': 1.0451, 'learning_rate': 1.9607843137254903e-05, 'epoch': 0.12}
{'loss': 0.9969, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 0.9961, 'learning_rate': 1.9987782529016497e-05, 'epoch': 0.12}
{'loss': 1.0411, 'learning_rate': 1.997556505803299e-05, 'epoch': 0.13}
{'loss': 1.1548, 'learning_rate': 1.9963347587049484e-05, 'epoch': 0.13}
{'loss': 1.0375, 'learning_rate': 1.9951130116065975e-05, 'epoch': 0.13}
{'loss': 1.0161, 'learning_rate': 1.993891264508247e-05, 'epoch': 0.13}
{'loss': 1.0901, 'learning_rate': 1.9926695174098962e-05, 'epoch': 0.13}
{'loss': 0.9871, 'learning_rate': 1.9914477703115457e-05, 'epoch': 0.14}
{'loss': 0.9497, 'learning_rate': 1.9902260232131952e-05, 'epoch': 0.14}
{'loss': 1.0705, 'learning_rate': 1.9890042761148444e-05, 'epoch': 0.14}
{'loss': 0.8707, 'learning_rate': 1.987782529016494e-05, 'epoch': 0.14}
{'loss': 0.9428, 'learning_rate': 1.986560781918143e-05, 'epoch': 0.15}
{'loss': 0.951, 'learning_rate': 1.9853390348197926e-05, 'epoch': 0.15}
{'loss': 0.92, 'learning_rate': 1.9841172877214418e-05, 'epoch': 0.15}
{'loss': 1.1669, 'learning_rate': 1.9828955406230913e-05, 'epoch': 0.15}
{'loss': 1.1212, 'learning_rate': 1.9816737935247404e-05, 'epoch': 0.16}
{'loss': 1.1135, 'learning_rate': 1.98045204642639e-05, 'epoch': 0.16}
{'loss': 0.9427, 'learning_rate': 1.979230299328039e-05, 'epoch': 0.16}
{'loss': 0.7727, 'learning_rate': 1.9780085522296886e-05, 'epoch': 0.16}
{'loss': 1.0284, 'learning_rate': 1.9767868051313378e-05, 'epoch': 0.17}
{'loss': 1.0114, 'learning_rate': 1.9755650580329873e-05, 'epoch': 0.17}
{'loss': 0.9033, 'learning_rate': 1.9743433109346365e-05, 'epoch': 0.17}
{'loss': 1.0119, 'learning_rate': 1.973121563836286e-05, 'epoch': 0.17}
{'loss': 0.8283, 'learning_rate': 1.9718998167379355e-05, 'epoch': 0.17}
{'loss': 0.9822, 'learning_rate': 1.970678069639585e-05, 'epoch': 0.18}
{'loss': 0.9878, 'learning_rate': 1.9694563225412342e-05, 'epoch': 0.18}
{'loss': 0.8839, 'learning_rate': 1.9682345754428837e-05, 'epoch': 0.18}
{'loss': 0.9306, 'learning_rate': 1.967012828344533e-05, 'epoch': 0.18}
