  0%|          | 0/844 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-11-30 15:40:16,275 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                  
{'loss': 2.4764, 'learning_rate': 7.692307692307694e-07, 'epoch': 0.0}
{'loss': 2.5226, 'learning_rate': 1.5384615384615387e-06, 'epoch': 0.01}
{'loss': 2.199, 'learning_rate': 2.307692307692308e-06, 'epoch': 0.01}
{'loss': 2.4162, 'learning_rate': 3.0769230769230774e-06, 'epoch': 0.02}
{'loss': 2.3803, 'learning_rate': 3.846153846153847e-06, 'epoch': 0.02}
{'loss': 2.3865, 'learning_rate': 4.615384615384616e-06, 'epoch': 0.03}
{'loss': 2.6114, 'learning_rate': 5.384615384615385e-06, 'epoch': 0.03}
{'loss': 2.8806, 'learning_rate': 6.153846153846155e-06, 'epoch': 0.04}
{'loss': 3.0066, 'learning_rate': 6.923076923076923e-06, 'epoch': 0.04}
{'loss': 2.4412, 'learning_rate': 7.692307692307694e-06, 'epoch': 0.05}
{'loss': 2.182, 'learning_rate': 8.461538461538462e-06, 'epoch': 0.05}
{'loss': 2.4832, 'learning_rate': 9.230769230769232e-06, 'epoch': 0.06}
{'loss': 2.4849, 'learning_rate': 1e-05, 'epoch': 0.06}
{'loss': 2.4594, 'learning_rate': 1.076923076923077e-05, 'epoch': 0.07}
{'loss': 2.2613, 'learning_rate': 1.1538461538461538e-05, 'epoch': 0.07}
{'loss': 2.4901, 'learning_rate': 1.230769230769231e-05, 'epoch': 0.08}
{'loss': 2.1597, 'learning_rate': 1.3076923076923078e-05, 'epoch': 0.08}
{'loss': 2.7891, 'learning_rate': 1.3846153846153847e-05, 'epoch': 0.09}
{'loss': 2.3439, 'learning_rate': 1.4615384615384615e-05, 'epoch': 0.09}
{'loss': 2.2096, 'learning_rate': 1.5384615384615387e-05, 'epoch': 0.09}
{'loss': 2.2376, 'learning_rate': 1.6153846153846154e-05, 'epoch': 0.1}
{'loss': 2.1869, 'learning_rate': 1.6923076923076924e-05, 'epoch': 0.1}
