  0%|          | 0/844 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-12-01 19:50:50,945 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                  
{'loss': 3.58, 'learning_rate': 7.692307692307694e-07, 'epoch': 0.0}
{'loss': 3.6987, 'learning_rate': 1.5384615384615387e-06, 'epoch': 0.01}
{'loss': 3.8333, 'learning_rate': 2.307692307692308e-06, 'epoch': 0.01}
{'loss': 4.3617, 'learning_rate': 3.0769230769230774e-06, 'epoch': 0.02}
{'loss': 3.1425, 'learning_rate': 3.846153846153847e-06, 'epoch': 0.02}
{'loss': 3.4525, 'learning_rate': 4.615384615384616e-06, 'epoch': 0.03}
{'loss': 3.3933, 'learning_rate': 5.384615384615385e-06, 'epoch': 0.03}
{'loss': 3.6802, 'learning_rate': 6.153846153846155e-06, 'epoch': 0.04}
{'loss': 3.4275, 'learning_rate': 6.923076923076923e-06, 'epoch': 0.04}
{'loss': 3.3208, 'learning_rate': 7.692307692307694e-06, 'epoch': 0.05}
{'loss': 3.023, 'learning_rate': 8.461538461538462e-06, 'epoch': 0.05}
{'loss': 3.1257, 'learning_rate': 9.230769230769232e-06, 'epoch': 0.06}
{'loss': 3.2905, 'learning_rate': 1e-05, 'epoch': 0.06}
{'loss': 3.0855, 'learning_rate': 1.076923076923077e-05, 'epoch': 0.07}
{'loss': 2.878, 'learning_rate': 1.1538461538461538e-05, 'epoch': 0.07}
{'loss': 3.2778, 'learning_rate': 1.230769230769231e-05, 'epoch': 0.08}
{'loss': 3.078, 'learning_rate': 1.3076923076923078e-05, 'epoch': 0.08}
{'loss': 3.2235, 'learning_rate': 1.3846153846153847e-05, 'epoch': 0.09}
{'loss': 3.2591, 'learning_rate': 1.4615384615384615e-05, 'epoch': 0.09}
{'loss': 3.1595, 'learning_rate': 1.5384615384615387e-05, 'epoch': 0.09}
{'loss': 2.8989, 'learning_rate': 1.6153846153846154e-05, 'epoch': 0.1}
{'loss': 3.287, 'learning_rate': 1.6923076923076924e-05, 'epoch': 0.1}
{'loss': 2.8109, 'learning_rate': 1.7692307692307694e-05, 'epoch': 0.11}
{'loss': 2.8707, 'learning_rate': 1.8461538461538465e-05, 'epoch': 0.11}
{'loss': 2.9024, 'learning_rate': 1.923076923076923e-05, 'epoch': 0.12}
{'loss': 3.0123, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 3.07, 'learning_rate': 1.997555012224939e-05, 'epoch': 0.13}
{'loss': 2.7036, 'learning_rate': 1.995110024449878e-05, 'epoch': 0.13}
{'loss': 2.7437, 'learning_rate': 1.992665036674817e-05, 'epoch': 0.14}
{'loss': 2.8076, 'learning_rate': 1.9902200488997556e-05, 'epoch': 0.14}
{'loss': 2.6421, 'learning_rate': 1.9877750611246945e-05, 'epoch': 0.15}
{'loss': 3.2772, 'learning_rate': 1.9853300733496334e-05, 'epoch': 0.15}
{'loss': 2.7808, 'learning_rate': 1.9828850855745724e-05, 'epoch': 0.16}
{'loss': 2.8352, 'learning_rate': 1.980440097799511e-05, 'epoch': 0.16}
{'loss': 2.2971, 'learning_rate': 1.9779951100244502e-05, 'epoch': 0.17}
{'loss': 3.1827, 'learning_rate': 1.975550122249389e-05, 'epoch': 0.17}
{'loss': 2.8474, 'learning_rate': 1.9731051344743278e-05, 'epoch': 0.17}
{'loss': 3.3266, 'learning_rate': 1.9706601466992667e-05, 'epoch': 0.18}
{'loss': 2.9636, 'learning_rate': 1.9682151589242056e-05, 'epoch': 0.18}
{'loss': 2.9471, 'learning_rate': 1.9657701711491442e-05, 'epoch': 0.19}
{'loss': 2.861, 'learning_rate': 1.9633251833740835e-05, 'epoch': 0.19}
{'loss': 2.2799, 'learning_rate': 1.960880195599022e-05, 'epoch': 0.2}
{'loss': 2.7127, 'learning_rate': 1.958435207823961e-05, 'epoch': 0.2}
{'loss': 2.8093, 'learning_rate': 1.9559902200489e-05, 'epoch': 0.21}
{'loss': 3.0473, 'learning_rate': 1.953545232273839e-05, 'epoch': 0.21}
{'loss': 2.535, 'learning_rate': 1.9511002444987775e-05, 'epoch': 0.22}
{'loss': 2.7803, 'learning_rate': 1.9486552567237164e-05, 'epoch': 0.22}
{'loss': 2.3116, 'learning_rate': 1.9462102689486554e-05, 'epoch': 0.23}
{'loss': 2.7717, 'learning_rate': 1.9437652811735943e-05, 'epoch': 0.23}
{'loss': 2.5517, 'learning_rate': 1.9413202933985333e-05, 'epoch': 0.24}
{'loss': 2.3457, 'learning_rate': 1.9388753056234722e-05, 'epoch': 0.24}
{'loss': 2.5684, 'learning_rate': 1.936430317848411e-05, 'epoch': 0.25}
{'loss': 2.3849, 'learning_rate': 1.9339853300733497e-05, 'epoch': 0.25}
{'loss': 2.5948, 'learning_rate': 1.9315403422982887e-05, 'epoch': 0.26}
{'loss': 2.4935, 'learning_rate': 1.9290953545232276e-05, 'epoch': 0.26}
{'loss': 2.0319, 'learning_rate': 1.9266503667481665e-05, 'epoch': 0.26}
{'loss': 2.3407, 'learning_rate': 1.924205378973105e-05, 'epoch': 0.27}
{'loss': 2.1082, 'learning_rate': 1.9217603911980444e-05, 'epoch': 0.27}
{'loss': 1.846, 'learning_rate': 1.919315403422983e-05, 'epoch': 0.28}
{'loss': 1.9587, 'learning_rate': 1.916870415647922e-05, 'epoch': 0.28}
{'loss': 1.6142, 'learning_rate': 1.914425427872861e-05, 'epoch': 0.29}
{'loss': 1.4037, 'learning_rate': 1.9119804400977998e-05, 'epoch': 0.29}
{'loss': 1.4538, 'learning_rate': 1.9095354523227384e-05, 'epoch': 0.3}
{'loss': 1.3235, 'learning_rate': 1.9070904645476773e-05, 'epoch': 0.3}
{'loss': 1.6491, 'learning_rate': 1.9046454767726163e-05, 'epoch': 0.31}
{'loss': 1.2644, 'learning_rate': 1.9022004889975552e-05, 'epoch': 0.31}
{'loss': 1.2434, 'learning_rate': 1.899755501222494e-05, 'epoch': 0.32}
{'loss': 0.9896, 'learning_rate': 1.897310513447433e-05, 'epoch': 0.32}
{'loss': 1.0337, 'learning_rate': 1.8948655256723717e-05, 'epoch': 0.33}
{'loss': 1.0626, 'learning_rate': 1.8924205378973106e-05, 'epoch': 0.33}
{'loss': 0.9684, 'learning_rate': 1.8899755501222495e-05, 'epoch': 0.34}
{'loss': 0.9944, 'learning_rate': 1.8875305623471885e-05, 'epoch': 0.34}
{'loss': 0.9154, 'learning_rate': 1.8850855745721274e-05, 'epoch': 0.35}
{'loss': 1.0497, 'learning_rate': 1.882640586797066e-05, 'epoch': 0.35}
{'loss': 0.9779, 'learning_rate': 1.880195599022005e-05, 'epoch': 0.35}
{'loss': 0.9466, 'learning_rate': 1.877750611246944e-05, 'epoch': 0.36}
{'loss': 0.8337, 'learning_rate': 1.8753056234718828e-05, 'epoch': 0.36}
{'loss': 1.0643, 'learning_rate': 1.8728606356968217e-05, 'epoch': 0.37}
{'loss': 0.8773, 'learning_rate': 1.8704156479217607e-05, 'epoch': 0.37}
{'loss': 0.8286, 'learning_rate': 1.8679706601466993e-05, 'epoch': 0.38}
{'loss': 0.7244, 'learning_rate': 1.8655256723716385e-05, 'epoch': 0.38}
{'loss': 0.8527, 'learning_rate': 1.863080684596577e-05, 'epoch': 0.39}
{'loss': 0.7482, 'learning_rate': 1.860635696821516e-05, 'epoch': 0.39}
{'loss': 0.7602, 'learning_rate': 1.8581907090464547e-05, 'epoch': 0.4}
{'loss': 0.937, 'learning_rate': 1.855745721271394e-05, 'epoch': 0.4}
{'loss': 0.8451, 'learning_rate': 1.8533007334963325e-05, 'epoch': 0.41}
{'loss': 0.7895, 'learning_rate': 1.8508557457212715e-05, 'epoch': 0.41}
{'loss': 0.841, 'learning_rate': 1.8484107579462104e-05, 'epoch': 0.42}
{'loss': 0.864, 'learning_rate': 1.8459657701711494e-05, 'epoch': 0.42}
{'loss': 0.7994, 'learning_rate': 1.843520782396088e-05, 'epoch': 0.43}
{'loss': 0.8388, 'learning_rate': 1.8410757946210272e-05, 'epoch': 0.43}
