  0%|          | 0/844 [00:00<?, ?it/s][WARNING|logging.py:314] 2024-12-01 19:50:51,137 >> You're using a LlamaTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
                                                  
{'loss': 2.4764, 'learning_rate': 7.692307692307694e-07, 'epoch': 0.0}
{'loss': 2.5226, 'learning_rate': 1.5384615384615387e-06, 'epoch': 0.01}
{'loss': 2.1984, 'learning_rate': 2.307692307692308e-06, 'epoch': 0.01}
{'loss': 2.4153, 'learning_rate': 3.0769230769230774e-06, 'epoch': 0.02}
{'loss': 2.3806, 'learning_rate': 3.846153846153847e-06, 'epoch': 0.02}
{'loss': 2.3879, 'learning_rate': 4.615384615384616e-06, 'epoch': 0.03}
{'loss': 2.6116, 'learning_rate': 5.384615384615385e-06, 'epoch': 0.03}
{'loss': 2.8817, 'learning_rate': 6.153846153846155e-06, 'epoch': 0.04}
{'loss': 3.0065, 'learning_rate': 6.923076923076923e-06, 'epoch': 0.04}
{'loss': 2.4427, 'learning_rate': 7.692307692307694e-06, 'epoch': 0.05}
{'loss': 2.1826, 'learning_rate': 8.461538461538462e-06, 'epoch': 0.05}
{'loss': 2.4839, 'learning_rate': 9.230769230769232e-06, 'epoch': 0.06}
{'loss': 2.4871, 'learning_rate': 1e-05, 'epoch': 0.06}
{'loss': 2.4604, 'learning_rate': 1.076923076923077e-05, 'epoch': 0.07}
{'loss': 2.2639, 'learning_rate': 1.1538461538461538e-05, 'epoch': 0.07}
{'loss': 2.4907, 'learning_rate': 1.230769230769231e-05, 'epoch': 0.08}
{'loss': 2.1612, 'learning_rate': 1.3076923076923078e-05, 'epoch': 0.08}
{'loss': 2.7886, 'learning_rate': 1.3846153846153847e-05, 'epoch': 0.09}
{'loss': 2.3457, 'learning_rate': 1.4615384615384615e-05, 'epoch': 0.09}
{'loss': 2.2101, 'learning_rate': 1.5384615384615387e-05, 'epoch': 0.09}
{'loss': 2.2398, 'learning_rate': 1.6153846153846154e-05, 'epoch': 0.1}
{'loss': 2.1868, 'learning_rate': 1.6923076923076924e-05, 'epoch': 0.1}
{'loss': 2.1962, 'learning_rate': 1.7692307692307694e-05, 'epoch': 0.11}
{'loss': 2.4902, 'learning_rate': 1.8461538461538465e-05, 'epoch': 0.11}
{'loss': 2.5114, 'learning_rate': 1.923076923076923e-05, 'epoch': 0.12}
{'loss': 2.3459, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.2133, 'learning_rate': 1.997555012224939e-05, 'epoch': 0.13}
{'loss': 2.3665, 'learning_rate': 1.995110024449878e-05, 'epoch': 0.13}
{'loss': 2.1342, 'learning_rate': 1.992665036674817e-05, 'epoch': 0.14}
{'loss': 2.0522, 'learning_rate': 1.9902200488997556e-05, 'epoch': 0.14}
{'loss': 2.3782, 'learning_rate': 1.9877750611246945e-05, 'epoch': 0.15}
{'loss': 2.2677, 'learning_rate': 1.9853300733496334e-05, 'epoch': 0.15}
{'loss': 2.092, 'learning_rate': 1.9828850855745724e-05, 'epoch': 0.16}
{'loss': 2.1149, 'learning_rate': 1.980440097799511e-05, 'epoch': 0.16}
{'loss': 2.2274, 'learning_rate': 1.9779951100244502e-05, 'epoch': 0.17}
{'loss': 1.705, 'learning_rate': 1.975550122249389e-05, 'epoch': 0.17}
{'loss': 1.953, 'learning_rate': 1.9731051344743278e-05, 'epoch': 0.17}
{'loss': 2.0799, 'learning_rate': 1.9706601466992667e-05, 'epoch': 0.18}
